Time [s]	x [mm]	y [mm]	Voltage [V]	Current [A]
5.040374400035944	0.0	0.0	0.0	8.367719e-05
8.95728400000371	10.0	0.0	0.0	8.736299e-05
12.295825299981516	20.0	0.0	0.0	9.104525e-05
18.664744500012603	30.0	0.0	0.0	0.000112088
21.90893189999042	40.0	0.0	0.0	0.0001222832
25.817261299991515	50.0	0.0	0.0	0.0001289445
28.99539180001011	60.0	0.0	0.0	0.000134038
35.88003860000754	70.0	0.0	0.0	0.0001358273
45.687402300012764	80.0	0.0	0.0	0.0001345389
54.54699010000331	90.0	0.0	0.0	0.0001345979
58.23878950002836	100.0	0.0	0.0	0.0001254263
61.129991699999664	110.0	0.0	0.0	0.0001134476
64.229378500022	120.0	0.0	0.0	0.0001009521
68.35916789999465	130.0	0.0	0.0	9.13655e-05
76.70688660000451	140.0	0.0	0.0	8.584867e-05
95.10811400000239	0.0	10.0	0.0	8.849316e-05
98.49417940003332	10.0	10.0	0.0	9.920244e-05
105.84595779998926	20.0	10.0	0.0	0.0001149924
108.61865850002505	30.0	10.0	0.0	0.0001318502
111.6393875000067	40.0	10.0	0.0	0.0001439176
114.49788360000821	50.0	10.0	0.0	0.0001497747
122.4193893999909	60.0	10.0	0.0	0.0001520204
129.96043949999148	70.0	10.0	0.0	0.0001518574
135.92563389998395	80.0	10.0	0.0	0.0001537756
140.45598319999408	90.0	10.0	0.0	0.0001518318
145.59569889999693	100.0	10.0	0.0	0.0001522732
232.81462720001582	110.0	10.0	0.0	0.0001317596
235.98307710001245	120.0	10.0	0.0	0.0001160095
239.87290090002352	130.0	10.0	0.0	9.004904e-05
248.7382791999844	140.0	10.0	0.0	8.645211e-05
268.4667092000018	0.0	20.0	0.0	9.17518e-05
271.407147800026	10.0	20.0	0.0	0.0001073788
277.18277090002084	20.0	20.0	0.0	0.0001264844
283.4206388000166	30.0	20.0	0.0	0.0001473155
288.25481479999144	40.0	20.0	0.0	0.0001566123
297.7648823999916	50.0	20.0	0.0	0.0001628076
301.72245020000264	60.0	20.0	0.0	0.0001649623
312.897529400012	70.0	20.0	0.0	0.0001640483
327.7901039000135	80.0	20.0	0.0	0.0001675015
340.58941160002723	90.0	20.0	0.0	0.0001682066
348.0728797999909	100.0	20.0	0.0	0.0001597206
352.34360630001174	110.0	20.0	0.0	0.0001471486
359.0918274000287	120.0	20.0	0.0	0.0001307209
362.09453120001126	130.0	20.0	0.0	0.0001119736
366.0614022000227	140.0	20.0	0.0	9.31864e-05
398.39401580003323	0.0	30.0	0.0	0.0001029999
401.920633700036	10.0	30.0	0.0	0.0001217609
404.34179440001026	20.0	30.0	0.0	0.0001394758
406.8084360000212	30.0	30.0	0.0	0.000154213
409.85913090000395	40.0	30.0	0.0	0.0001646392
412.95321800000966	50.0	30.0	0.0	0.0001702888
415.7267384000006	60.0	30.0	0.0	0.0001704964
427.580609800003	70.0	30.0	0.0	0.0001709558
438.79975420003757	80.0	30.0	0.0	0.0001744632
442.09369810001226	90.0	30.0	0.0	0.0001725603
444.9795177000342	100.0	30.0	0.0	0.0001686067
448.1675108000054	110.0	30.0	0.0	0.0001571809
457.320320800005	120.0	30.0	0.0	0.0001423784
465.65795620001154	130.0	30.0	0.0	0.0001258553
474.0199752000044	140.0	30.0	0.0	0.0001050462
510.90985890000593	0.0	40.0	0.0	0.0001118025
514.5007309000357	10.0	40.0	0.0	0.0001318264
517.5349590000114	20.0	40.0	0.0	0.0001470273
521.9386637000134	30.0	40.0	0.0	0.0001601848
528.7704143000301	40.0	40.0	0.0	0.0001674887
532.0856721000164	50.0	40.0	0.0	0.0001712821
535.3593721000361	60.0	40.0	0.0	0.0001743797
544.3912510999944	70.0	40.0	0.0	0.0001745167
577.3721332999994	80.0	40.0	0.0	0.0001759666
580.5365258000093	90.0	40.0	0.0	0.0001752405
584.6169073000201	100.0	40.0	0.0	0.0001709264
587.4259161000373	110.0	40.0	0.0	0.0001621979
591.3291117000044	120.0	40.0	0.0	0.0001510822
596.0805976000265	130.0	40.0	0.0	0.0001355877
605.7714963000035	140.0	40.0	0.0	0.0001172496
645.3217004000326	0.0	50.0	0.0	0.0001217132
650.2065512000117	10.0	50.0	0.0	0.0001386923
653.9742371999891	20.0	50.0	0.0	0.0001532637
657.2716273000115	30.0	50.0	0.0	0.0001633844
661.6664168999996	40.0	50.0	0.0	0.0001690277
664.275424899999	50.0	50.0	0.0	0.0001722134
667.8383248000173	60.0	50.0	0.0	0.0001747486
676.8420031000278	70.0	50.0	0.0	0.0001758292
685.7346883999999	80.0	50.0	0.0	0.0001780871
690.9439776000218	90.0	50.0	0.0	0.0001748343
694.2361589000211	100.0	50.0	0.0	0.0001701014
696.8982559000142	110.0	50.0	0.0	0.000165195
706.8778418999864	120.0	50.0	0.0	0.0001539686
711.2258583999937	130.0	50.0	0.0	0.0001406311
716.888749100035	140.0	50.0	0.0	0.0001243373
741.7543125000084	0.0	60.0	0.0	0.0001255022
747.5661935000098	10.0	60.0	0.0	0.0001441513
750.7131228999933	20.0	60.0	0.0	0.0001554644
754.0879804000142	30.0	60.0	0.0	0.0001645687
757.2717616999871	40.0	60.0	0.0	0.0001696956
760.6732177000376	50.0	60.0	0.0	0.000172714
763.5868629000033	60.0	60.0	0.0	0.000175181
772.9208498999942	70.0	60.0	0.0	0.0001763062
784.4495372000383	80.0	60.0	0.0	0.0001786275
787.2499824999832	90.0	60.0	0.0	0.0001752476
790.0376764999819	100.0	60.0	0.0	0.0001705318
793.08285050001	110.0	60.0	0.0	0.000165369
795.9023314000224	120.0	60.0	0.0	0.0001563838
804.5588789000176	130.0	60.0	0.0	0.0001439088
810.4886923999875	140.0	60.0	0.0	0.000127205
835.7694608999882	0.0	70.0	0.0	0.0001264614
839.8466621999978	10.0	70.0	0.0	0.0001444546
842.5419511999935	20.0	70.0	0.0	0.00015589
845.5583409999963	30.0	70.0	0.0	0.0001635933
848.1151161000016	40.0	70.0	0.0	0.0001696333
851.0049401000142	50.0	70.0	0.0	0.0001730336
853.4130301999976	60.0	70.0	0.0	0.0001750799
857.2625093000242	70.0	70.0	0.0	0.000176539
