Time [s]	x [mm]	y [mm]	Voltage [V]	Current [A]
1.6380604000296444	0.0	0.0	0.0	0.000100562
5.775596100022085	10.0	0.0	0.0	0.0001197861
10.365404900046997	20.0	0.0	0.0	0.0001332832
13.824451500026044	30.0	0.0	0.0	0.000145074
16.962341900041793	40.0	0.0	0.0	0.000156608
20.20001140004024	50.0	0.0	0.0	0.0001624877
23.367528700036928	60.0	0.0	0.0	0.0001633071
28.978920300025493	70.0	0.0	0.0	0.0001630209
38.02931840001838	80.0	0.0	0.0	0.0001675555
41.51565900002606	90.0	0.0	0.0	0.0001671137
45.380996000021696	100.0	0.0	0.0	0.0001592994
48.01354600000195	110.0	0.0	0.0	0.0001481145
50.937726200034376	120.0	0.0	0.0	0.000132577
56.02410170005169	130.0	0.0	0.0	0.0001173322
72.02602490002755	140.0	0.0	0.0	9.917594e-05
