Time [s]	x [mm]	y [mm]	Voltage [V]	Current [A]
43.01533120003296	0.0	0.0	0.0	3.446262e-07
48.76261670002714	10.0	0.0	0.0	3.825001e-07
52.681221200036816	20.0	0.0	0.0	4.252982e-07
57.439376800030004	30.0	0.0	0.0	4.680536e-07
61.81328330002725	40.0	0.0	0.0	5.12173e-07
66.13255620002747	50.0	0.0	0.0	5.467725e-07
70.4700315000373	60.0	0.0	0.0	5.861334e-07
75.19088950002333	70.0	0.0	0.0	5.854024e-07
79.34277500002645	80.0	0.0	0.0	5.722408e-07
83.96809770003892	90.0	0.0	0.0	5.511158e-07
88.15900139999576	100.0	0.0	0.0	5.123838e-07
93.96896070003277	110.0	0.0	0.0	4.785969e-07
97.49467779998668	120.0	0.0	0.0	4.401856e-07
103.35169330000645	130.0	0.0	0.0	4.163005e-07
110.20251909998478	140.0	0.0	0.0	3.568337e-07
141.12904760002857	0.0	10.0	0.0	3.748693e-07
148.30932810000377	10.0	10.0	0.0	4.29958e-07
151.95926040003542	20.0	10.0	0.0	4.843454e-07
155.76170860003913	30.0	10.0	0.0	5.414111e-07
165.12433140003122	40.0	10.0	0.0	5.923667e-07
169.29619990003994	50.0	10.0	0.0	6.49683e-07
172.78489790001186	60.0	10.0	0.0	6.944909e-07
176.8064580000355	70.0	10.0	0.0	6.782979e-07
182.69213929999387	80.0	10.0	0.0	6.455418e-07
187.86304110003402	90.0	10.0	0.0	6.147319e-07
193.36247410002397	100.0	10.0	0.0	6.283004e-07
197.04985770001076	110.0	10.0	0.0	5.582954e-07
201.12117569998372	120.0	10.0	0.0	4.937097e-07
206.34118490002584	130.0	10.0	0.0	4.642069e-07
214.672453999985	140.0	10.0	0.0	3.878101e-07
227.0714297000086	0.0	20.0	0.0	4.09939e-07
231.56328719999874	10.0	20.0	0.0	4.798318e-07
241.58727660001023	20.0	20.0	0.0	5.520315e-07
254.31343650002964	30.0	20.0	0.0	6.71174e-07
272.9534869000199	40.0	20.0	0.0	7.661567e-07
283.1388483000337	50.0	20.0	0.0	1.658073e-06
287.36579539999366	60.0	20.0	0.0	2.760097e-06
293.0116740000085	70.0	20.0	0.0	2.645678e-06
297.54652219999116	80.0	20.0	0.0	1.758079e-06
301.8974951999844	90.0	20.0	0.0	9.49235e-07
308.8673665000242	100.0	20.0	0.0	8.094987e-07
314.9931142000132	110.0	20.0	0.0	7.040909e-07
