Wavelength [nm]	Intensity [A.U.]
384.0	0.00624
388.0	0.007652
392.0	0.008109
396.0	0.008115
400.0	0.008874
404.0	0.009737
408.0	0.01043
412.0	0.01091
416.0	0.01182
420.0	0.01272
424.0	0.01351
428.0	0.01443
432.0	0.01546
436.0	0.01648
440.0	0.01722
444.0	0.01854
448.0	0.01977
452.0	0.02062
456.0	0.02193
460.0	0.0231
464.0	0.0243
468.0	0.02582
472.0	0.02715
476.0	0.02834
480.0	0.02976
484.0	0.03131
488.0	0.03287
492.0	0.03442
496.0	0.03592
500.0	0.03802
504.0	0.03938
508.0	0.04119
512.0	0.04303
516.0	0.04484
520.0	0.04678
524.0	0.04833
528.0	0.05048
532.0	0.05235
536.0	0.05401
540.0	0.05605
544.0	0.05784
548.0	0.05981
552.0	0.06171
556.0	0.06353
560.0	0.0654
564.0	0.06732
568.0	0.06923
572.0	0.07121
576.0	0.07289
580.0	0.07473
584.0	0.07639
588.0	0.07882
592.0	0.08031
596.0	0.08222
600.0	0.08406
604.0	0.08561
608.0	0.08789
612.0	0.08956
616.0	0.09098
620.0	0.09276
624.0	0.09395
628.0	0.09576
632.0	0.09742
636.0	0.09919
640.0	0.1004
644.0	0.1018
648.0	0.103
652.0	0.1045
656.0	0.1051
660.0	0.1062
664.0	0.1068
668.0	0.108
672.0	0.1083
676.0	0.1085
680.0	0.1086
684.0	0.1085
688.0	0.1084
692.0	0.1088
696.0	0.1083
700.0	0.1092
704.0	0.1094
708.0	0.1104
712.0	0.1113
716.0	0.1117
720.0	0.1132
724.0	0.1144
728.0	0.1159
732.0	0.1174
736.0	0.1187
740.0	0.1214
744.0	0.1229
748.0	0.1245
752.0	0.1256
756.0	0.1273
760.0	0.1297
764.0	0.1302
768.0	0.1318
772.0	0.1324
776.0	0.1338
780.0	0.134
