Wavelength [nm]	Intensity [A.U.]
384.0	0.01438
388.0	0.01776
392.0	0.01906
396.0	0.01934
400.0	0.02126
404.0	0.02357
408.0	0.0255
412.0	0.02697
416.0	0.02925
420.0	0.03147
424.0	0.03342
428.0	0.03578
432.0	0.03852
436.0	0.0413
440.0	0.04362
444.0	0.04738
448.0	0.05095
452.0	0.05363
456.0	0.05732
460.0	0.06044
464.0	0.06356
468.0	0.06763
472.0	0.07138
476.0	0.07476
480.0	0.07864
484.0	0.08324
488.0	0.08766
492.0	0.09215
496.0	0.0963
500.0	0.1022
504.0	0.1059
508.0	0.1109
512.0	0.1159
516.0	0.1206
520.0	0.1257
524.0	0.1298
528.0	0.1353
532.0	0.1402
536.0	0.1443
540.0	0.1496
544.0	0.1543
548.0	0.1591
552.0	0.1638
556.0	0.1684
560.0	0.1731
564.0	0.1775
568.0	0.1823
572.0	0.1868
576.0	0.1911
580.0	0.1953
584.0	0.1993
588.0	0.205
592.0	0.2085
596.0	0.2132
600.0	0.2174
604.0	0.2207
608.0	0.2258
612.0	0.2294
616.0	0.2323
620.0	0.2359
624.0	0.2378
628.0	0.2409
632.0	0.2436
636.0	0.2459
640.0	0.2472
644.0	0.2472
648.0	0.248
652.0	0.2483
656.0	0.2467
660.0	0.245
664.0	0.2424
668.0	0.2405
672.0	0.2369
676.0	0.2318
680.0	0.2267
684.0	0.2208
688.0	0.2137
692.0	0.2073
696.0	0.1976
700.0	0.191
704.0	0.1826
708.0	0.1753
712.0	0.1675
716.0	0.161
720.0	0.1576
724.0	0.1551
728.0	0.1553
732.0	0.1575
736.0	0.1601
740.0	0.1656
744.0	0.1692
748.0	0.1729
752.0	0.1752
756.0	0.1776
760.0	0.1789
764.0	0.1781
768.0	0.1778
772.0	0.1744
776.0	0.1716
780.0	0.1663
