Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
2.1064492000150494	0.0	0.0	500-600	0.05665305203174731
2.1064492000150494	0.0	0.0	600-700	0.04125727254872731
2.1064492000150494	0.0	0.0	700-800	0.2205730801476851
2.1064492000150494	0.0	0.0	800-900	2.3287690053288754
2.1064492000150494	0.0	0.0	900-1100	0.945362783053691
14.100254200049676	20.0	0.0	500-600	0.09386227228932775
14.100254200049676	20.0	0.0	600-700	0.06234003550404064
14.100254200049676	20.0	0.0	700-800	0.38595760895925607
14.100254200049676	20.0	0.0	800-900	3.498433011113133
14.100254200049676	20.0	0.0	900-1100	1.6082951535652326
23.395478799997363	40.0	0.0	500-600	0.051574258774733865
23.395478799997363	40.0	0.0	600-700	0.03200783807913611
23.395478799997363	40.0	0.0	700-800	0.3696349181544213
23.395478799997363	40.0	0.0	800-900	2.9944891100431175
23.395478799997363	40.0	0.0	900-1100	1.0403380523520167
37.788579900050536	60.0	0.0	500-600	0.08591202135952566
37.788579900050536	60.0	0.0	600-700	0.05674722665415513
37.788579900050536	60.0	0.0	700-800	0.3912835231313142
37.788579900050536	60.0	0.0	800-900	3.051648349665263
37.788579900050536	60.0	0.0	900-1100	1.390175453572771
48.88258100004168	80.0	0.0	500-600	0.10225675435068839
48.88258100004168	80.0	0.0	600-700	0.07142040459136863
48.88258100004168	80.0	0.0	700-800	0.4168313619756374
48.88258100004168	80.0	0.0	800-900	4.08738773998718
48.88258100004168	80.0	0.0	900-1100	1.8877189840157755
68.07323290000204	100.0	0.0	500-600	-0.001011506409268483
68.07323290000204	100.0	0.0	600-700	-0.009233612007869763
68.07323290000204	100.0	0.0	700-800	0.26565483030309883
68.07323290000204	100.0	0.0	800-900	3.6113011964461856
68.07323290000204	100.0	0.0	900-1100	0.7545117411597788
105.85409580002306	0.0	20.0	500-600	0.03591530681644417
105.85409580002306	0.0	20.0	600-700	0.015869125892036474
105.85409580002306	0.0	20.0	700-800	0.21976052523053996
105.85409580002306	0.0	20.0	800-900	1.8380923289748476
105.85409580002306	0.0	20.0	900-1100	0.5354594394506043
114.54968510003528	20.0	20.0	500-600	0.02577732012436703
114.54968510003528	20.0	20.0	600-700	0.01357643783373487
114.54968510003528	20.0	20.0	700-800	0.26802348080304533
114.54968510003528	20.0	20.0	800-900	2.4505349046665716
114.54968510003528	20.0	20.0	900-1100	0.6796066900365598
125.94364620000124	40.0	20.0	500-600	0.11531231940198969
125.94364620000124	40.0	20.0	600-700	0.08101806288518577
125.94364620000124	40.0	20.0	700-800	0.3778188764576913
125.94364620000124	40.0	20.0	800-900	2.6491785544708932
125.94364620000124	40.0	20.0	900-1100	1.6198659063660883
139.13722700002836	60.0	20.0	500-600	0.06598934467953754
139.13722700002836	60.0	20.0	600-700	0.04181638489179267
139.13722700002836	60.0	20.0	700-800	0.3378300743127669
139.13722700002836	60.0	20.0	800-900	2.6158256770974693
