Wavelength [nm]	Intensity [A.U.]
384.0	0.0009164
388.0	0.002233
392.0	0.00438
396.0	0.007098
400.0	0.01031
404.0	0.01197
408.0	0.01117
412.0	0.009409
416.0	0.008936
420.0	0.01022
424.0	0.01346
428.0	0.01924
432.0	0.02698
436.0	0.0359
440.0	0.04288
444.0	0.04573
448.0	0.04094
452.0	0.03109
456.0	0.02416
460.0	0.01931
464.0	0.0156
468.0	0.01328
472.0	0.01218
476.0	0.01209
480.0	0.01286
484.0	0.01417
488.0	0.01574
492.0	0.01744
496.0	0.01898
500.0	0.02075
504.0	0.02187
508.0	0.023
512.0	0.02389
516.0	0.02451
520.0	0.02496
524.0	0.02496
528.0	0.0252
532.0	0.02525
536.0	0.02518
540.0	0.0253
544.0	0.02524
548.0	0.02519
552.0	0.02519
556.0	0.02516
560.0	0.02515
564.0	0.02509
568.0	0.02497
572.0	0.0249
576.0	0.02473
580.0	0.02453
584.0	0.02421
588.0	0.02398
592.0	0.02347
596.0	0.023
600.0	0.02243
604.0	0.0216
608.0	0.02083
612.0	0.01991
616.0	0.0189
620.0	0.01791
624.0	0.01665
628.0	0.0156
632.0	0.01456
636.0	0.01351
640.0	0.01246
644.0	0.01131
648.0	0.01041
652.0	0.009542
656.0	0.008666
660.0	0.007768
664.0	0.007048
668.0	0.006449
672.0	0.005896
676.0	0.005307
680.0	0.004896
684.0	0.004568
688.0	0.00431
692.0	0.004224
696.0	0.004199
700.0	0.004357
704.0	0.004582
708.0	0.005087
712.0	0.005797
716.0	0.006588
720.0	0.007609
724.0	0.008866
728.0	0.01005
732.0	0.01116
736.0	0.01181
740.0	0.01214
744.0	0.01176
748.0	0.01081
752.0	0.009208
756.0	0.007025
760.0	0.005254
764.0	0.003862
768.0	0.002748
772.0	0.002005
776.0	0.001612
780.0	0.001353
