	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	900-1100	0.190205
1	20.0	0.0	900-1100	0.249409
2	40.0	0.0	900-1100	0.135689
3	60.0	0.0	900-1100	0.173604
4	80.0	0.0	900-1100	0.232788
5	100.0	0.0	900-1100	0.103864
6	0.0	20.0	900-1100	0.091737
7	20.0	20.0	900-1100	0.084786
8	40.0	20.0	900-1100	0.169224
9	60.0	20.0	900-1100	0.111425
10	80.0	20.0	900-1100	0.11405
11	100.0	20.0	900-1100	0.142319
12	0.0	40.0	900-1100	0.169454
13	20.0	40.0	900-1100	0.159852
14	40.0	40.0	900-1100	0.15327
15	60.0	40.0	900-1100	0.150266
16	80.0	40.0	900-1100	0.110262
17	100.0	40.0	900-1100	0.094546
18	0.0	60.0	900-1100	0.133508
19	20.0	60.0	900-1100	0.115763
20	40.0	60.0	900-1100	0.073628
21	60.0	60.0	900-1100	0.100801
22	80.0	60.0	900-1100	0.043115
23	100.0	60.0	900-1100	0.152096
24	0.0	80.0	900-1100	0.044838
25	20.0	80.0	900-1100	0.027594
26	40.0	80.0	900-1100	0.115194
27	60.0	80.0	900-1100	0.137395
28	80.0	80.0	900-1100	0.102227
29	100.0	80.0	900-1100	0.076223
30	0.0	100.0	900-1100	0.193693
31	20.0	100.0	900-1100	0.144029
32	40.0	100.0	900-1100	0.11129
33	60.0	100.0	900-1100	0.088188
34	80.0	100.0	900-1100	0.148315
35	100.0	100.0	900-1100	0.022125
