	x [mm]	y [mm]	Integrated Intensity 400-500 nm [A.U.]	Integrated Intensity 500-600 nm [A.U.]	Integrated Intensity 600-700 nm [A.U.]	Integrated Intensity 700-800 nm [A.U.]	Integrated Intensity 800-900 nm [A.U.]	Integrated Intensity 900-1100 nm [A.U.]
0	0.0	0.0	0.7311693333333332	0.7452573333333334	0.3814586666666666	0.6327956666666666	0.2072604414742699	0.0841372876917785
1	20.0	0.0	0.921016	0.9712933333333332	0.4914759999999999	0.7712163333333333	0.3113605379890688	0.1431382686673057
2	40.0	0.0	1.115862666666667	1.18484	0.5993066666666667	1.0325243333333334	0.2665095307938374	0.09259008665932948
3	60.0	0.0	1.1659013333333332	1.2515733333333334	0.634388	1.035147	0.2715967031202084	0.12372561536797662
4	80.0	0.0	1.1513159999999998	1.23656	0.6259186666666666	0.9935206666666668	0.36377750885885896	0.168006989577404
5	100.0	0.0	1.0659439999999998	1.1005493333333332	0.5607026666666666	0.950507	0.32140580648371053	0.06715154496322032
6	0.0	20.0	0.946992	1.0808613333333337	0.5281546666666667	0.4999263333333333	0.16359021727876147	0.04765589011110378
7	20.0	20.0	1.3005253333333335	1.4920133333333332	0.7287119999999998	0.6868766666666666	0.2180976065153249	0.06048499541325382
8	40.0	20.0	1.5073866666666664	1.748733333333333	0.8589239999999999	0.863089	0.23577689134790944	0.14416806566658186
9	60.0	20.0	1.5881119999999995	1.85216	0.901364	0.8483166666666667	0.23280848526167475	0.09780551586511087
10	80.0	20.0	1.5652693333333334	1.8153866666666667	0.8823919999999998	0.837119	0.262789036754239	0.09904779935345547
11	100.0	20.0	1.4702773333333332	1.67296	0.8168626666666665	0.8057486666666667	0.24902437922497098	0.11610741467441668
12	0.0	40.0	1.288008	1.568173333333333	0.7502306666666666	0.4848803333333333	0.13886227934118928	0.11712978195901959
13	20.0	40.0	1.6379733333333328	2.0005333333333333	0.951636	0.5503176666666666	0.16642773793356097	0.13839965484354358
14	40.0	40.0	1.7219439999999997	2.07492	0.9914866666666666	0.607506	0.19950265380407523	0.13976495496932956
15	60.0	40.0	1.7621733333333334	2.1098266666666663	1.0085373333333334	0.6369543333333334	0.20483990307975872	0.14006616938473604
16	80.0	40.0	1.8035786666666669	2.1648666666666663	1.0299266666666669	0.6386423333333333	0.18978682753634502	0.10397673487364166
17	100.0	40.0	1.6672879999999997	1.9861333333333333	0.949588	0.5872676666666667	0.17461772508905662	0.08188036441531772
18	0.0	60.0	1.439404	1.7784266666666662	0.8419573333333332	0.4424343333333333	0.13249769692932323	0.10051832514361994
19	20.0	60.0	1.7427439999999996	2.1602533333333334	1.026398666666667	0.4910436666666667	0.14462101040579128	0.10435326232915049
20	40.0	60.0	1.8321066666666668	2.2279733333333334	1.046490666666667	0.5128433333333333	0.15304685448855848	0.06837748440035608
21	60.0	60.0	1.8468666666666669	2.25376	1.0704813333333332	0.5487126666666667	0.1657556416560579	0.09586687380567208
22	80.0	60.0	1.8439546666666669	2.2393199999999998	1.0647333333333333	0.5405946666666667	0.14522795154938378	0.040268559835264985
23	100.0	60.0	1.7741413333333331	2.1585866666666664	1.0248373333333334	0.509431	0.1544101809982819	0.13931288718729634
24	0.0	80.0	1.392872	1.7223333333333333	0.8182839999999999	0.4254953333333333	0.11404680862323271	0.03211843814804836
25	20.0	80.0	1.7374186666666669	2.14032	1.011388	0.4637073333333333	0.1285022288165152	0.024155187111285885
26	40.0	80.0	1.835396	2.25164	1.0638	0.4961333333333333	0.15753331891343283	0.1082979752543352
27	60.0	80.0	1.8391213333333327	2.2290666666666668	1.0557439999999998	0.5393163333333333	0.1749831269328834	0.13038956456447728
28	80.0	80.0	1.8980093333333328	2.2924666666666664	1.0748106666666666	0.5245211666666666	0.14663495219796122	0.09808575929641491
29	100.0	80.0	1.7922266666666664	2.1695866666666666	1.0238826666666665	0.4909609999999999	0.1373710055769537	0.06887378494639074
30	0.0	100.0	1.3310226666666665	1.6153333333333333	0.7644346666666667	0.4479329999999999	0.15667329338422847	0.13712511611811304
31	20.0	100.0	1.648596	2.011146666666667	0.9528133333333332	0.4968743333333333	0.19229910585443852	0.1242585081979456
32	40.0	100.0	1.7876186666666667	2.1530666666666667	1.0138186666666666	0.550729	0.17433381736767917	0.1023106426676561
33	60.0	100.0	1.7926106666666666	2.154266666666667	1.0245186666666666	0.6016526666666665	0.16152001147052622	0.0815526908660281
34	80.0	100.0	1.803773333333333	2.1715066666666667	1.0320533333333335	0.5859163333333334	0.17988608694957825	0.13943059289129095
35	100.0	100.0	1.688104	2.025986666666667	0.968176	0.565977	0.13392262800603397	0.01900100969434974
