	x [mm]	y [mm]	Mismatch 400-500 nm	Mismatch 500-600 nm	Mismatch 600-700 nm	Mismatch 700-800 nm	Mismatch 800-900 nm	Mismatch 900-1100 nm
0	0.0	0.0	1.428337	1.34612	0.745178	1.526539	0.595987	0.190205
1	20.0	0.0	1.386763	1.352229	0.74001	1.433979	0.690091	0.249409
2	40.0	0.0	1.413092	1.387344	0.758942	1.614698	0.496798	0.135689
3	60.0	0.0	1.413644	1.403134	0.769189	1.549929	0.484742	0.173604
4	80.0	0.0	1.378501	1.368965	0.749429	1.468997	0.641145	0.232788
5	100.0	0.0	1.424693	1.36007	0.74941	1.568823	0.632337	0.103864
6	0.0	20.0	1.575271	1.662432	0.878557	1.026944	0.400566	0.091737
7	20.0	20.0	1.575335	1.671058	0.882694	1.027459	0.388878	0.084786
8	40.0	20.0	1.528966	1.640067	0.87122	1.081086	0.352032	0.169224
9	60.0	20.0	1.563434	1.685939	0.887358	1.031307	0.337369	0.111425
10	80.0	20.0	1.557468	1.670183	0.877994	1.028606	0.384898	0.11405
11	100.0	20.0	1.557332	1.638446	0.865229	1.053933	0.388268	0.142319
12	0.0	40.0	1.610211	1.812687	0.937905	0.748566	0.255538	0.169454
13	20.0	40.0	1.634813	1.846171	0.9498	0.678276	0.244509	0.159852
14	40.0	40.0	1.631768	1.818048	0.939564	0.710921	0.278289	0.15327
15	60.0	40.0	1.633637	1.8085	0.934973	0.7292	0.279531	0.150266
16	80.0	40.0	1.652744	1.834283	0.943793	0.722703	0.256003	0.110262
17	100.0	40.0	1.663617	1.832381	0.947497	0.72362	0.256471	0.094546
18	0.0	60.0	1.652049	1.8873	0.966341	0.627077	0.22385	0.133508
19	20.0	60.0	1.67062	1.914756	0.983921	0.581294	0.204072	0.115763
20	40.0	60.0	1.704738	1.916822	0.973739	0.589282	0.209623	0.073628
21	60.0	60.0	1.678076	1.893427	0.972647	0.615677	0.221693	0.100801
22	80.0	60.0	1.706048	1.915675	0.985103	0.617653	0.197788	0.043115
23	100.0	60.0	1.673762	1.882954	0.966853	0.593502	0.214432	0.152096
24	0.0	80.0	1.68029	1.921122	0.987136	0.633869	0.202518	0.044838
25	20.0	80.0	1.715104	1.953573	0.998398	0.565277	0.186726	0.027594
26	40.0	80.0	1.687014	1.913607	0.977798	0.563143	0.213142	0.115194
27	60.0	80.0	1.674629	1.876705	0.961317	0.606434	0.234537	0.137395
28	80.0	80.0	1.709374	1.909003	0.96799	0.583356	0.194395	0.102227
29	100.0	80.0	1.713977	1.918465	0.979179	0.579817	0.193381	0.076223
30	0.0	100.0	1.624656	1.823069	0.933075	0.675182	0.2815	0.193693
31	20.0	100.0	1.651268	1.862567	0.954358	0.614584	0.283523	0.144029
32	40.0	100.0	1.680305	1.871266	0.952958	0.639268	0.241214	0.11129
33	60.0	100.0	1.675077	1.861285	0.957345	0.694266	0.222169	0.088188
34	80.0	100.0	1.658014	1.845577	0.948655	0.665079	0.243395	0.148315
35	100.0	100.0	1.69861	1.884933	0.974202	0.703275	0.198361	0.022125
