Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
6.164522900013253	0.0	0.0	400-500	0.7311693333333332
6.164522900013253	0.0	0.0	500-600	0.7452573333333334
6.164522900013253	0.0	0.0	600-700	0.38145866666666667
6.164522900013253	0.0	0.0	700-800	0.6327956666666666
30.06134670000756	20.0	0.0	400-500	0.921016
30.06134670000756	20.0	0.0	500-600	0.9712933333333332
30.06134670000756	20.0	0.0	600-700	0.49147599999999997
30.06134670000756	20.0	0.0	700-800	0.7712163333333333
42.87992039998062	40.0	0.0	400-500	1.1158626666666667
42.87992039998062	40.0	0.0	500-600	1.18484
42.87992039998062	40.0	0.0	600-700	0.5993066666666667
42.87992039998062	40.0	0.0	700-800	1.0325243333333334
63.000854999991134	60.0	0.0	400-500	1.1659013333333332
63.000854999991134	60.0	0.0	500-600	1.2515733333333334
63.000854999991134	60.0	0.0	600-700	0.634388
63.000854999991134	60.0	0.0	700-800	1.035147
78.72471330000553	80.0	0.0	400-500	1.1513159999999998
78.72471330000553	80.0	0.0	500-600	1.2365599999999999
78.72471330000553	80.0	0.0	600-700	0.6259186666666666
78.72471330000553	80.0	0.0	700-800	0.9935206666666667
96.0437055999646	100.0	0.0	400-500	1.0659439999999998
96.0437055999646	100.0	0.0	500-600	1.1005493333333332
96.0437055999646	100.0	0.0	600-700	0.5607026666666666
96.0437055999646	100.0	0.0	700-800	0.950507
159.2320042999927	0.0	20.0	400-500	0.9469920000000001
159.2320042999927	0.0	20.0	500-600	1.0808613333333335
159.2320042999927	0.0	20.0	600-700	0.5281546666666667
159.2320042999927	0.0	20.0	700-800	0.4999263333333333
169.8377081999788	20.0	20.0	400-500	1.3005253333333335
169.8377081999788	20.0	20.0	500-600	1.4920133333333332
169.8377081999788	20.0	20.0	600-700	0.7287119999999998
169.8377081999788	20.0	20.0	700-800	0.6868766666666666
179.96317409997573	40.0	20.0	400-500	1.5073866666666664
179.96317409997573	40.0	20.0	500-600	1.748733333333333
179.96317409997573	40.0	20.0	600-700	0.8589239999999999
179.96317409997573	40.0	20.0	700-800	0.863089
190.2457574	60.0	20.0	400-500	1.5881119999999997
190.2457574	60.0	20.0	500-600	1.85216
190.2457574	60.0	20.0	600-700	0.9013639999999999
190.2457574	60.0	20.0	700-800	0.8483166666666667
199.1046535000205	80.0	20.0	400-500	1.5652693333333334
199.1046535000205	80.0	20.0	500-600	1.8153866666666667
199.1046535000205	80.0	20.0	600-700	0.8823919999999998
199.1046535000205	80.0	20.0	700-800	0.837119
211.9551379000186	100.0	20.0	400-500	1.4702773333333332
211.9551379000186	100.0	20.0	500-600	1.67296
211.9551379000186	100.0	20.0	600-700	0.8168626666666665
211.9551379000186	100.0	20.0	700-800	0.8057486666666667
228.69951740000397	0.0	40.0	400-500	1.288008
228.69951740000397	0.0	40.0	500-600	1.568173333333333
228.69951740000397	0.0	40.0	600-700	0.7502306666666666
228.69951740000397	0.0	40.0	700-800	0.4848803333333333
238.30336479999823	20.0	40.0	400-500	1.6379733333333328
238.30336479999823	20.0	40.0	500-600	2.0005333333333333
238.30336479999823	20.0	40.0	600-700	0.951636
238.30336479999823	20.0	40.0	700-800	0.5503176666666666
249.27691289997892	40.0	40.0	400-500	1.7219439999999997
249.27691289997892	40.0	40.0	500-600	2.07492
249.27691289997892	40.0	40.0	600-700	0.9914866666666666
249.27691289997892	40.0	40.0	700-800	0.607506
259.58042620000197	60.0	40.0	400-500	1.7621733333333334
259.58042620000197	60.0	40.0	500-600	2.1098266666666663
259.58042620000197	60.0	40.0	600-700	1.0085373333333334
259.58042620000197	60.0	40.0	700-800	0.6369543333333334
270.73399949999293	80.0	40.0	400-500	1.8035786666666667
270.73399949999293	80.0	40.0	500-600	2.1648666666666663
270.73399949999293	80.0	40.0	600-700	1.0299266666666667
270.73399949999293	80.0	40.0	700-800	0.6386423333333333
279.50292940001236	100.0	40.0	400-500	1.6672879999999997
279.50292940001236	100.0	40.0	500-600	1.9861333333333333
279.50292940001236	100.0	40.0	600-700	0.949588
279.50292940001236	100.0	40.0	700-800	0.5872676666666667
303.7711591999978	0.0	60.0	400-500	1.439404
303.7711591999978	0.0	60.0	500-600	1.7784266666666662
303.7711591999978	0.0	60.0	600-700	0.8419573333333332
303.7711591999978	0.0	60.0	700-800	0.4424343333333333
320.33556789997965	20.0	60.0	400-500	1.7427439999999996
320.33556789997965	20.0	60.0	500-600	2.1602533333333334
320.33556789997965	20.0	60.0	600-700	1.0263986666666667
320.33556789997965	20.0	60.0	700-800	0.4910436666666667
329.155973099987	40.0	60.0	400-500	1.8321066666666668
329.155973099987	40.0	60.0	500-600	2.2279733333333334
329.155973099987	40.0	60.0	600-700	1.0464906666666667
329.155973099987	40.0	60.0	700-800	0.5128433333333333
338.42405669996515	60.0	60.0	400-500	1.8468666666666667
338.42405669996515	60.0	60.0	500-600	2.2537599999999998
338.42405669996515	60.0	60.0	600-700	1.0704813333333332
338.42405669996515	60.0	60.0	700-800	0.5487126666666667
