	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	600-700	0.017921
1	10.0	0.0	600-700	0.018605
2	20.0	0.0	600-700	-0.037058
3	30.0	0.0	600-700	0.02653
4	40.0	0.0	600-700	0.030789
5	50.0	0.0	600-700	0.048733
6	60.0	0.0	600-700	-0.053522
7	70.0	0.0	600-700	-0.065049
8	80.0	0.0	600-700	0.034667
9	0.0	10.0	600-700	0.033111
10	10.0	10.0	600-700	0.014849
11	20.0	10.0	600-700	-0.112669
12	30.0	10.0	600-700	0.06269
13	40.0	10.0	600-700	0.060679
14	50.0	10.0	600-700	0.097545
15	60.0	10.0	600-700	0.272301
16	70.0	10.0	600-700	0.101749
17	80.0	10.0	600-700	-0.075178
18	0.0	20.0	600-700	-0.11899
19	10.0	20.0	600-700	-0.382236
20	20.0	20.0	600-700	-0.107801
21	30.0	20.0	600-700	0.025465
22	40.0	20.0	600-700	0.210541
23	50.0	20.0	600-700	0.108938
24	60.0	20.0	600-700	0.025558
25	70.0	20.0	600-700	-0.057597
26	80.0	20.0	600-700	0.046947
27	0.0	30.0	600-700	0.044091
28	10.0	30.0	600-700	-0.089247
29	20.0	30.0	600-700	0.433241
30	30.0	30.0	600-700	1.052119
31	40.0	30.0	600-700	1.502684
32	50.0	30.0	600-700	0.782306
33	60.0	30.0	600-700	1.902885
34	70.0	30.0	600-700	0.022652
35	80.0	30.0	600-700	-0.030016
36	0.0	40.0	600-700	-0.069299
37	10.0	40.0	600-700	0.056216
38	20.0	40.0	600-700	1.392414
39	30.0	40.0	600-700	1.939366
40	40.0	40.0	600-700	1.30574
41	50.0	40.0	600-700	1.270193
42	60.0	40.0	600-700	1.25213
43	70.0	40.0	600-700	-0.282363
44	80.0	40.0	600-700	0.085667
45	0.0	50.0	600-700	0.141692
46	10.0	50.0	600-700	0.074767
47	20.0	50.0	600-700	2.061845
48	30.0	50.0	600-700	1.673297
49	40.0	50.0	600-700	1.298101
50	50.0	50.0	600-700	1.584348
51	60.0	50.0	600-700	1.982229
52	70.0	50.0	600-700	0.191069
53	80.0	50.0	600-700	-0.237562
54	0.0	60.0	600-700	0.085614
55	10.0	60.0	600-700	0.076082
56	20.0	60.0	600-700	3.373636
57	30.0	60.0	600-700	2.092178
58	40.0	60.0	600-700	1.938072
59	50.0	60.0	600-700	1.969579
60	60.0	60.0	600-700	1.84236
61	70.0	60.0	600-700	0.094312
62	80.0	60.0	600-700	-0.219386
63	0.0	70.0	600-700	0.018045
64	10.0	70.0	600-700	0.039833
65	20.0	70.0	600-700	0.125439
66	30.0	70.0	600-700	1.33326
67	40.0	70.0	600-700	1.922767
68	50.0	70.0	600-700	1.880999
69	60.0	70.0	600-700	-2.861715
70	70.0	70.0	600-700	-0.104579
71	80.0	70.0	600-700	-0.134576
72	0.0	80.0	600-700	0.012491
73	10.0	80.0	600-700	0.034009
74	20.0	80.0	600-700	0.107546
75	30.0	80.0	600-700	-0.246795
76	40.0	80.0	600-700	0.104671
77	50.0	80.0	600-700	0.224867
78	60.0	80.0	600-700	-0.350119
79	70.0	80.0	600-700	0.052748
80	80.0	80.0	600-700	0.301866
