	x [mm]	y [mm]	Wavelength Intervall [nm]	Mismatch
0	0.0	0.0	900-1100	5.975199
1	10.0	0.0	900-1100	5.961396
2	20.0	0.0	900-1100	6.296504
3	30.0	0.0	900-1100	5.853361
4	40.0	0.0	900-1100	5.782318
5	50.0	0.0	900-1100	5.690951
6	60.0	0.0	900-1100	6.365068
7	70.0	0.0	900-1100	6.503376
8	80.0	0.0	900-1100	5.904315
9	0.0	10.0	900-1100	5.877482
10	10.0	10.0	900-1100	5.973987
11	20.0	10.0	900-1100	6.827232
12	30.0	10.0	900-1100	5.605368
13	40.0	10.0	900-1100	5.497329
14	50.0	10.0	900-1100	5.255328
15	60.0	10.0	900-1100	4.594714
16	70.0	10.0	900-1100	5.53595
17	80.0	10.0	900-1100	6.441682
18	0.0	20.0	900-1100	6.929325
19	10.0	20.0	900-1100	9.036555
20	20.0	20.0	900-1100	6.966357
21	30.0	20.0	900-1100	4.641655
22	40.0	20.0	900-1100	3.590851
23	50.0	20.0	900-1100	3.933433
24	60.0	20.0	900-1100	5.825674
25	70.0	20.0	900-1100	6.376032
26	80.0	20.0	900-1100	5.731504
27	0.0	30.0	900-1100	5.762948
28	10.0	30.0	900-1100	6.602638
29	20.0	30.0	900-1100	3.334973
30	30.0	30.0	900-1100	2.209457
31	40.0	30.0	400-500	0.355395
32	50.0	30.0	900-1100	2.467396
33	60.0	30.0	900-1100	-4.276766
34	70.0	30.0	900-1100	5.906888
35	80.0	30.0	900-1100	6.249373
36	0.0	40.0	900-1100	6.413367
37	10.0	40.0	900-1100	5.779093
38	20.0	40.0	400-500	0.322361
39	30.0	40.0	600-700	1.939366
40	40.0	40.0	900-1100	1.752287
41	50.0	40.0	400-500	0.340962
42	60.0	40.0	900-1100	1.81862
43	70.0	40.0	900-1100	7.727781
44	80.0	40.0	900-1100	5.676016
45	0.0	50.0	900-1100	5.429263
46	10.0	50.0	900-1100	5.702351
47	20.0	50.0	600-700	2.061845
48	30.0	50.0	600-700	1.673297
49	40.0	50.0	400-500	0.289072
50	50.0	50.0	600-700	1.584348
51	60.0	50.0	600-700	1.982229
52	70.0	50.0	900-1100	5.297217
53	80.0	50.0	900-1100	7.058566
54	0.0	60.0	900-1100	5.702374
55	10.0	60.0	900-1100	5.701895
56	20.0	60.0	900-1100	-4.034816
57	30.0	60.0	600-700	2.092178
58	40.0	60.0	600-700	1.938072
59	50.0	60.0	600-700	1.969579
60	60.0	60.0	900-1100	-0.376977
61	70.0	60.0	900-1100	5.631075
62	80.0	60.0	900-1100	6.974971
63	0.0	70.0	900-1100	5.954964
64	10.0	70.0	900-1100	5.869926
65	20.0	70.0	900-1100	5.556214
66	30.0	70.0	800-900	0.106237
67	40.0	70.0	900-1100	0.006071
68	50.0	70.0	900-1100	-0.970014
69	60.0	70.0	900-1100	15.785495
70	70.0	70.0	900-1100	6.543169
71	80.0	70.0	900-1100	6.59703
72	0.0	80.0	900-1100	6.007597
73	10.0	80.0	900-1100	5.91537
74	20.0	80.0	900-1100	5.653892
75	30.0	80.0	900-1100	7.006757
76	40.0	80.0	900-1100	5.595038
77	50.0	80.0	900-1100	5.195008
78	60.0	80.0	900-1100	7.4787
79	70.0	80.0	900-1100	5.860592
80	80.0	80.0	900-1100	4.93509
