Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
21.369092799999635	0.0	0.0	400-500	0.0007019546666666668
21.369092799999635	0.0	0.0	500-600	0.0011916146666666664
21.369092799999635	0.0	0.0	600-700	0.0017539333333333332
21.369092799999635	0.0	0.0	700-800	0.00267651
48.75105630001053	10.0	0.0	400-500	0.000741196
48.75105630001053	10.0	0.0	500-600	0.0013149333333333335
48.75105630001053	10.0	0.0	600-700	0.0020517599999999997
48.75105630001053	10.0	0.0	700-800	0.003117413333333333
76.48090439999942	20.0	0.0	400-500	0.000696112
76.48090439999942	20.0	0.0	500-600	0.0012921999999999999
76.48090439999942	20.0	0.0	600-700	0.0023622
76.48090439999942	20.0	0.0	700-800	0.00402754
102.80011500000546	30.0	0.0	400-500	0.000684224
102.80011500000546	30.0	0.0	500-600	0.00131672
102.80011500000546	30.0	0.0	600-700	0.0026899466666666667
102.80011500000546	30.0	0.0	700-800	0.004681813333333333
129.471838700003	40.0	0.0	400-500	0.0006320133333333333
129.471838700003	40.0	0.0	500-600	0.0012943266666666667
129.471838700003	40.0	0.0	600-700	0.0028402266666666667
129.471838700003	40.0	0.0	700-800	0.00504003
157.6431761999993	50.0	0.0	400-500	0.0005934133333333333
157.6431761999993	50.0	0.0	500-600	0.0012483733333333333
157.6431761999993	50.0	0.0	600-700	0.0029846266666666665
157.6431761999993	50.0	0.0	700-800	0.00530424
183.52817560000403	60.0	0.0	400-500	0.0005524093333333334
183.52817560000403	60.0	0.0	500-600	0.0012238559999999997
183.52817560000403	60.0	0.0	600-700	0.0029468800000000002
183.52817560000403	60.0	0.0	700-800	0.005353606666666667
210.4428740000003	70.0	0.0	400-500	0.0005158613333333333
210.4428740000003	70.0	0.0	500-600	0.0010895466666666666
210.4428740000003	70.0	0.0	600-700	0.00269872
210.4428740000003	70.0	0.0	700-800	0.004998016666666666
237.96086849999847	80.0	0.0	400-500	0.0004820213333333332
237.96086849999847	80.0	0.0	500-600	0.00102418
237.96086849999847	80.0	0.0	600-700	0.002534786666666666
237.96086849999847	80.0	0.0	700-800	0.004533583333333333
278.8655570999981	0.0	10.0	400-500	0.0005529013333333332
278.8655570999981	0.0	10.0	500-600	0.001005064
278.8655570999981	0.0	10.0	600-700	0.0017217733333333332
278.8655570999981	0.0	10.0	700-800	0.002769483333333333
305.15934490000654	10.0	10.0	400-500	0.0006186719999999999
305.15934490000654	10.0	10.0	500-600	0.0011134573333333334
305.15934490000654	10.0	10.0	600-700	0.0020392266666666666
305.15934490000654	10.0	10.0	700-800	0.003451203333333333
332.7150646000082	20.0	10.0	400-500	0.0006961799999999999
332.7150646000082	20.0	10.0	500-600	0.00141024
332.7150646000082	20.0	10.0	600-700	0.002811986666666667
332.7150646000082	20.0	10.0	700-800	0.004746213333333333
358.4123132000095	30.0	10.0	400-500	0.0009352013333333334
358.4123132000095	30.0	10.0	500-600	0.0021423199999999996
358.4123132000095	30.0	10.0	600-700	0.004511653333333332
358.4123132000095	30.0	10.0	700-800	0.007142906666666666
392.9899901000026	40.0	10.0	400-500	0.0008424986666666667
392.9899901000026	40.0	10.0	500-600	0.0019832666666666663
392.9899901000026	40.0	10.0	600-700	0.00432252
392.9899901000026	40.0	10.0	700-800	0.007114319999999999
424.4235946999979	50.0	10.0	400-500	0.0006791719999999999
424.4235946999979	50.0	10.0	500-600	0.0015933333333333333
424.4235946999979	50.0	10.0	600-700	0.003920773333333334
424.4235946999979	50.0	10.0	700-800	0.006787113333333333
450.9647205000074	60.0	10.0	400-500	0.0005837866666666666
450.9647205000074	60.0	10.0	500-600	0.0013929226666666665
450.9647205000074	60.0	10.0	600-700	0.003748613333333333
450.9647205000074	60.0	10.0	700-800	0.00646622
476.9230696000013	70.0	10.0	400-500	0.0005612586666666667
476.9230696000013	70.0	10.0	500-600	0.0013332613333333332
476.9230696000013	70.0	10.0	600-700	0.00366472
476.9230696000013	70.0	10.0	700-800	0.006330096666666667
505.01410900001065	80.0	10.0	400-500	0.00044608266666666663
505.01410900001065	80.0	10.0	500-600	0.001051456
505.01410900001065	80.0	10.0	600-700	0.0027298933333333333
505.01410900001065	80.0	10.0	700-800	0.004669499999999999
546.4951776000089	0.0	20.0	400-500	0.0005153786666666667
546.4951776000089	0.0	20.0	500-600	0.0010207373333333332
546.4951776000089	0.0	20.0	600-700	0.001955813333333333
546.4951776000089	0.0	20.0	700-800	0.0033827966666666667
573.3827490000112	10.0	20.0	400-500	0.0006462466666666667
573.3827490000112	10.0	20.0	500-600	0.00142816
573.3827490000112	10.0	20.0	600-700	0.00289016
573.3827490000112	10.0	20.0	700-800	0.004875406666666667
598.5226627000084	20.0	20.0	400-500	0.0012609626666666668
598.5226627000084	20.0	20.0	500-600	0.0030297733333333335
