Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
0.9871515999984695	0.0	0.0	500-600	0.0
0.9871515999984695	0.0	0.0	600-700	0.0
0.9871515999984695	0.0	0.0	700-800	0.015105822082669345
0.9871515999984695	0.0	0.0	800-900	0.0809630193716743
0.9871515999984695	0.0	0.0	900-1100	2.0213318053387064
7.914355100001558	10.0	0.0	500-600	0.0
7.914355100001558	10.0	0.0	600-700	0.0
7.914355100001558	10.0	0.0	700-800	0.017979276599658263
7.914355100001558	10.0	0.0	800-900	0.09609522861793002
7.914355100001558	10.0	0.0	900-1100	2.27241575793444
14.246662599995034	20.0	0.0	500-600	0.0
14.246662599995034	20.0	0.0	600-700	0.0
14.246662599995034	20.0	0.0	700-800	-0.0030776762433483
14.246662599995034	20.0	0.0	800-900	-0.0319268207340703
14.246662599995034	20.0	0.0	900-1100	-1.3873059220714083
21.558610499996576	30.0	0.0	500-600	0.0
21.558610499996576	30.0	0.0	600-700	0.0
21.558610499996576	30.0	0.0	700-800	0.01908386474099311
21.558610499996576	30.0	0.0	800-900	0.11529655822094878
21.558610499996576	30.0	0.0	900-1100	2.0514389879761707
29.18549800000619	40.0	0.0	500-600	0.0
29.18549800000619	40.0	0.0	600-700	0.0
29.18549800000619	40.0	0.0	700-800	0.02058909386835059
29.18549800000619	40.0	0.0	800-900	0.1224339873752257
29.18549800000619	40.0	0.0	900-1100	1.8437652223988845
37.302261000004364	50.0	0.0	500-600	0.0
37.302261000004364	50.0	0.0	600-700	0.0
37.302261000004364	50.0	0.0	700-800	0.0174057367864896
37.302261000004364	50.0	0.0	800-900	0.08614443202521907
37.302261000004364	50.0	0.0	900-1100	1.2047247659243514
44.4041264999978	60.0	0.0	500-600	0.0
44.4041264999978	60.0	0.0	600-700	0.0
44.4041264999978	60.0	0.0	700-800	-0.00172820338519887
44.4041264999978	60.0	0.0	800-900	-0.025889056264421433
44.4041264999978	60.0	0.0	900-1100	-1.2113516795923243
50.9114494999958	70.0	0.0	500-600	0.0
50.9114494999958	70.0	0.0	600-700	0.0
50.9114494999958	70.0	0.0	700-800	-0.002641772300326037
50.9114494999958	70.0	0.0	800-900	-0.00651089534092308
50.9114494999958	70.0	0.0	900-1100	-0.9325942105536815
58.92310909999651	80.0	0.0	500-600	0.0
58.92310909999651	80.0	0.0	600-700	0.0
58.92310909999651	80.0	0.0	700-800	0.010928819595898656
58.92310909999651	80.0	0.0	800-900	0.06300264394433151
58.92310909999651	80.0	0.0	900-1100	1.4922223140333644
73.12733430000662	0.0	10.0	500-600	0.0
73.12733430000662	0.0	10.0	600-700	0.0
73.12733430000662	0.0	10.0	700-800	0.008053062101008101
73.12733430000662	0.0	10.0	800-900	0.049824405617278716
